City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,71.76,60,40,12.66,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,33.42,93,100,18.41,snow
2,Jamestown,US,42.097,-79.2353,88.02,51,40,17.27,scattered clouds
3,Barrow,US,71.2906,-156.7887,51.82,62,0,4.61,clear sky
4,Snasa,NO,64.2457,12.3778,60.21,87,100,2.64,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,39.47,92,100,1.95,overcast clouds
6,Goure,NE,13.9835,10.2704,77.02,58,100,6.49,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,53.11,63,0,6.91,clear sky
8,Buala,SB,-8.145,159.5921,79.86,80,100,6.58,overcast clouds
9,Busselton,AU,-33.65,115.3333,55.51,95,100,15.79,light rain
10,Constitucion,CL,-35.3333,-72.4167,57.38,77,7,12.1,clear sky
11,New Norfolk,AU,-42.7826,147.0587,34.72,89,5,2.33,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,35.71,75,75,24.16,broken clouds
13,Olafsvik,IS,64.8945,-23.7142,51.24,75,99,11.86,overcast clouds
14,Khatanga,RU,71.9667,102.5,45.64,65,100,21.32,overcast clouds
15,Vaini,TO,-21.2,-175.2,73.56,88,40,5.75,scattered clouds
16,Atuona,PF,-9.8,-139.0333,77.81,74,4,15.75,clear sky
17,Rio Gallegos,AR,-51.6226,-69.2181,37.45,56,0,32.21,clear sky
18,Rikitea,PF,-23.1203,-134.9692,73.36,75,0,2.04,clear sky
19,Mulege,MX,26.8833,-111.9833,95.72,36,7,10.96,clear sky
20,Nueva Guinea,NI,11.6876,-84.4562,78.51,86,100,12.37,overcast clouds
21,Dikson,RU,73.5069,80.5464,42.37,72,9,23.35,clear sky
22,Severo-Kurilsk,RU,50.6789,156.125,51.69,97,100,12.91,overcast clouds
23,Hobart,AU,-42.8794,147.3294,34.05,94,1,5.75,clear sky
24,Kita,ML,13.0349,-9.4895,74.71,85,100,3.06,light rain
25,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,40,18.41,light rain
26,Sorland,NO,67.667,12.6934,54.54,88,97,22.97,overcast clouds
27,Kapaa,US,22.0752,-159.319,82.38,75,20,12.66,few clouds
28,Narasannapeta,IN,18.4167,84.05,82.26,84,100,4.74,overcast clouds
29,Bethel,US,41.3712,-73.414,98.19,50,40,6.91,scattered clouds
30,Laramie,US,41.3114,-105.5911,86.09,18,0,19.57,clear sky
31,Caravelas,BR,-17.7125,-39.2481,73.4,73,3,6.67,clear sky
32,Upernavik,GL,72.7868,-56.1549,48.2,70,73,9.91,broken clouds
