City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tilichiki,RU,2022-07-19 02:27:22,60.4667,166.1,61.18,62,100,7.61
1,Antofagasta,CL,2022-07-19 02:27:22,-23.65,-70.4,54.68,76,24,4.29
2,Cabo San Lucas,MX,2022-07-19 02:22:33,22.8909,-109.9124,88.61,63,20,3.44
3,Alofi,NU,2022-07-19 02:27:23,-19.0595,-169.9187,78.69,73,75,19.57
4,East London,ZA,2022-07-19 02:26:31,-33.0153,27.9116,67.86,37,4,11.27
5,Hermanus,ZA,2022-07-19 02:27:23,-34.4187,19.2345,52.81,81,99,4.79
6,Acapulco,MX,2022-07-19 02:23:37,16.8634,-99.8901,84.02,79,40,8.05
7,Kapaa,US,2022-07-19 02:27:24,22.0752,-159.319,87.78,73,40,16.11
8,Sembakung,ID,2022-07-19 02:27:24,3.8167,117.25,85.89,64,98,1.19
9,Ambilobe,MG,2022-07-19 02:26:27,-13.2,49.05,67.15,59,2,10.47
10,Yellowknife,CA,2022-07-19 02:27:24,62.456,-114.3525,70.32,60,75,4.61
11,Fairbanks,US,2022-07-19 02:25:02,64.8378,-147.7164,64.4,66,100,8.05
12,Tasiilaq,GL,2022-07-19 02:27:25,65.6145,-37.6368,35.76,86,13,0.87
13,Thompson,CA,2022-07-19 02:26:38,55.7435,-97.8558,73.56,56,40,4.61
14,Yulara,AU,2022-07-19 02:27:25,-25.2406,130.9889,66.63,18,0,7.2
15,Lakatoro,VU,2022-07-19 02:27:25,-16.0999,167.4164,82.11,70,10,16.31
16,Lebu,CL,2022-07-19 02:27:26,-37.6167,-73.65,43.84,79,65,2.04
17,Vardo,NO,2022-07-19 02:27:26,70.3705,31.1107,58.98,77,90,4.61
18,Atuona,PF,2022-07-19 02:27:26,-9.8,-139.0333,76.73,78,73,17.87
19,Hofn,IS,2022-07-19 02:27:27,64.2539,-15.2082,50.54,84,100,9.82
20,Bilma,NE,2022-07-19 02:27:27,18.6853,12.9164,86.77,34,11,6.76
21,Bredasdorp,ZA,2022-07-19 02:27:27,-34.5322,20.0403,53.38,87,97,2.42
22,Port Alfred,ZA,2022-07-19 02:23:57,-33.5906,26.891,62.91,58,29,5.41
23,Albany,US,2022-07-19 02:27:28,42.6001,-73.9662,74.17,92,100,8.39
24,Ushuaia,AR,2022-07-19 02:23:55,-54.8,-68.3,33.46,93,75,9.22
25,Norton,ZW,2022-07-19 02:27:28,-17.8833,30.7,46.89,90,3,5.53
26,Rikitea,PF,2022-07-19 02:27:28,-23.1203,-134.9692,74.68,76,0,11.07
27,Castro,BR,2022-07-19 02:27:29,-24.7911,-50.0119,57.11,99,100,3.0
28,Torbay,CA,2022-07-19 02:27:29,47.6666,-52.7314,65.26,86,100,19.57
29,Vestmannaeyjar,IS,2022-07-19 02:27:29,63.4427,-20.2734,50.65,90,100,8.88
30,Busselton,AU,2022-07-19 02:27:29,-33.65,115.3333,56.59,73,0,9.73
31,Hobyo,SO,2022-07-19 02:27:30,5.3505,48.5268,74.66,82,100,24.16
32,Mataura,NZ,2022-07-19 02:27:30,-46.1927,168.8643,45.48,90,100,3.76
33,Hithadhoo,MV,2022-07-19 02:26:23,-0.6,73.0833,82.78,74,98,10.07
34,Anadyr,RU,2022-07-19 02:27:30,64.75,177.4833,59.5,41,0,20.13
35,Lufilufi,WS,2022-07-19 02:27:31,-13.8745,-171.5986,83.98,79,26,22.95
36,Cape Town,ZA,2022-07-19 02:27:31,-33.9258,18.4232,55.9,79,20,11.5
37,Saint-Philippe,RE,2022-07-19 02:27:31,-21.3585,55.7679,67.59,71,68,19.64
